Provider Number,Hospital Name,Address,City,State,ZIP Code,County Name,Communication with Nurses Achievement Points,Communication with Nurses Improvement Points,Communication with Nurses Dimension Score,Communication with Doctors Achievement Points,Communication with Doctors Improvement Points,Communication with Doctors Dimension Score,Responsiveness of Hospital Staff Achievement Points,Responsiveness of Hospital Staff Improvement Points,Responsiveness of Hospital Staff Dimension Score,Pain Management Achievement Points,Pain Management Improvement Points,Pain Management Dimension Score,Communication about Medicines Achievement Points,Communication about Medicines Improvement Points,Communication about Medicines Dimension Score,Cleanliness and Quietness of Hospital Environment Achievement Points,Cleanliness and Quietness of Hospital Environment Improvement Points,Cleanliness and Quietness of Hospital Environment Dimension Score,Discharge Information Achievement Points,Discharge Information Improvement Points,Discharge Information Dimension Score,Overall  Rating of Hospital Achievement Points,Overall Rating of Hospital Improvement Points,Overall Rating of Hospital Dimension Score,HCAHPS Base Score,HCAHPS Consistency Score,Location
140007,PRESENCE SAINT JOSEPH MEDICAL CENTER,333 N MADISON,Joliet,IL,60435,WILL,0 out of 10,2 out of 9,2 out of 10,1 out of 10,4 out of 9,4 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,0 out of 9,1 out of 10,2 out of 10,2 out of 9,2 out of 10,1 out of 10,0 out of 9,1 out of 10,11,14,"333 N MADISON
Joliet, IL 60435
"
140015,BLESSING HOSPITAL,BROADWAY AT 11TH STREET,Quincy ,IL,62305,ADAMS,6 out of 10,0 out of 9,6 out of 10,0 out of 10,0 out of 9,0 out of 10,2 out of 10,0 out of 9,2 out of 10,1 out of 10,3 out of 9,3 out of 10,8 out of 10,6 out of 9,8 out of 10,0 out of 10,0 out of 9,0 out of 10,10 out of 10,9 out of 9,10 out of 10,0 out of 10,0 out of 9,0 out of 10,29,19,"BROADWAY AT 11TH STREET
Quincy, IL 62305
"
140018,MT SINAI HOSPITAL MEDICAL CENTER,15TH STREET AT CALIFORNIA,Chicago,IL,60608,COOK,0 out of 10,2 out of 9,2 out of 10,0 out of 10,2 out of 9,2 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,2 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,9,10,"15TH STREET AT CALIFORNIA
Chicago, IL 60608
"
140052,OSF SAINT ANTHONY'S HEALTH CENTER,ST ANTHONY'S WAY,Alton,IL,62002,MADISON,7 out of 10,6 out of 9,7 out of 10,2 out of 10,1 out of 9,2 out of 10,2 out of 10,3 out of 9,3 out of 10,5 out of 10,5 out of 9,5 out of 10,6 out of 10,6 out of 9,6 out of 10,3 out of 10,3 out of 9,3 out of 10,8 out of 10,5 out of 9,8 out of 10,7 out of 10,7 out of 9,7 out of 10,41,20,"ST ANTHONY'S WAY
Alton, IL 62002
"
140118,METROSOUTH MEDICAL CENTER,12935 S GREGORY,Blue Island,IL,60406,COOK,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,0 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,1,16,"12935 S GREGORY
Blue Island, IL 60406
"
140191,INGALLS MEMORIAL HOSPITAL,ONE INGALLS DRIVE,Harvey,IL,60426,COOK,0 out of 10,0 out of 9,0 out of 10,2 out of 10,3 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,5 out of 10,4 out of 9,5 out of 10,0 out of 10,1 out of 9,1 out of 10,9,16,"ONE INGALLS DRIVE
Harvey, IL 60426
"
140210,HARRISBURG MEDICAL CENTER,100 DOCTOR WARREN TUTTLE DR,Harrisburg,IL,62946,SALINE,4 out of 10,0 out of 9,4 out of 10,0 out of 10,0 out of 9,0 out of 10,5 out of 10,0 out of 9,5 out of 10,3 out of 10,3 out of 9,3 out of 10,5 out of 10,0 out of 9,5 out of 10,3 out of 10,0 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,20,16,"100 DOCTOR WARREN TUTTLE DR
Harrisburg, IL 62946
"
140202,ADVOCATE CONDELL MEDICAL CENTER,801 S MILWAUKEE AVE,Libertyville,IL,60048,LAKE,3 out of 10,2 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,0 out of 9,1 out of 10,1 out of 10,1 out of 9,1 out of 10,1 out of 10,2 out of 9,2 out of 10,4 out of 10,1 out of 9,4 out of 10,4 out of 10,5 out of 9,5 out of 10,3 out of 10,1 out of 9,3 out of 10,19,17,"801 S MILWAUKEE AVE
Libertyville, IL 60048
(42.274563, -87.95165)"
140258,ALEXIAN BROTHERS MEDICAL CENTER 1,800 W BIESTERFIELD RD,Elk Grove Village,IL,60007,COOK,2 out of 10,2 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,2 out of 10,1 out of 9,2 out of 10,2 out of 10,1 out of 9,2 out of 10,1 out of 10,1 out of 9,1 out of 10,2 out of 10,1 out of 9,2 out of 10,4 out of 10,3 out of 9,4 out of 10,4 out of 10,2 out of 9,4 out of 10,17,18,"800 W BIESTERFIELD RD
Elk Grove Village, IL 60007
"
140286,KISHWAUKEE COMMUNITY HOSPITAL,ONE KISH HOSPITAL DRIVE,Dekalb,IL,60115,DE KALB,0 out of 10,1 out of 9,1 out of 10,3 out of 10,1 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,2 out of 10,3 out of 9,3 out of 10,1 out of 10,0 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,10 out of 10,9 out of 9,10 out of 10,1 out of 10,0 out of 9,1 out of 10,19,15,"ONE KISH HOSPITAL DRIVE
Dekalb, IL 60115
"
150021,PARKVIEW REGIONAL MEDICAL CENTER,11109 PARKVIEW PLAZA DRIVE,Fort Wayne,IN,46845,ALLEN,5 out of 10,3 out of 9,5 out of 10,0 out of 10,0 out of 9,0 out of 10,3 out of 10,2 out of 9,3 out of 10,5 out of 10,3 out of 9,5 out of 10,5 out of 10,6 out of 9,6 out of 10,5 out of 10,3 out of 9,5 out of 10,8 out of 10,7 out of 9,8 out of 10,7 out of 10,5 out of 9,7 out of 10,39,19,"11109 PARKVIEW PLAZA DRIVE
Fort Wayne, IN 46845
(41.18746, -85.099458)"
150008,ST CATHERINE HOSPITAL INC,4321 FIR ST,East Chicago,IN,46312,LAKE,5 out of 10,3 out of 9,5 out of 10,0 out of 10,1 out of 9,1 out of 10,3 out of 10,0 out of 9,3 out of 10,4 out of 10,3 out of 9,4 out of 10,2 out of 10,0 out of 9,2 out of 10,3 out of 10,0 out of 9,3 out of 10,1 out of 10,2 out of 9,2 out of 10,5 out of 10,3 out of 9,5 out of 10,25,19,"4321 FIR ST
East Chicago, IN 46312
(41.634064, -87.448542)"
150006,LA PORTE HOSPITAL,1007 LINCOLNWAY,La Porte,IN,46350,LA PORTE,1 out of 10,0 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,2 out of 10,0 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,0 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,2 out of 10,0 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,6,12,"1007 LINCOLNWAY
La Porte, IN 46350
(41.609739, -86.724046)"
150046,TERRE HAUTE REGIONAL HOSPITAL,3901 S SEVENTH ST,Terre Haute,IN,47802,VIGO,3 out of 10,3 out of 9,3 out of 10,2 out of 10,2 out of 9,2 out of 10,4 out of 10,3 out of 9,4 out of 10,3 out of 10,2 out of 9,3 out of 10,1 out of 10,1 out of 9,1 out of 10,2 out of 10,0 out of 9,2 out of 10,7 out of 10,6 out of 9,7 out of 10,3 out of 10,1 out of 9,3 out of 10,25,20,"3901 S SEVENTH ST
Terre Haute, IN 47802
(39.419624, -87.406837)"
150069,KING'S DAUGHTERS' HEALTH,1373 EAST SR 62,Madison,IN,47250,JEFFERSON,8 out of 10,8 out of 9,8 out of 10,8 out of 10,4 out of 9,8 out of 10,7 out of 10,6 out of 9,7 out of 10,7 out of 10,7 out of 9,7 out of 10,6 out of 10,7 out of 9,7 out of 10,7 out of 10,8 out of 9,8 out of 10,5 out of 10,3 out of 9,5 out of 10,6 out of 10,7 out of 9,7 out of 10,57,20,"1373 EAST SR 62
Madison, IN 47250
"
150089,INDIANA UNIVERSITY HEALTH BALL MEMORIAL HOSPITAL,2401 UNIVERSITY AVE,Indianapolis,IN,46219,DELAWARE,0 out of 10,0 out of 9,0 out of 10,1 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,2 out of 10,0 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,3 out of 10,4 out of 9,4 out of 10,0 out of 10,0 out of 9,0 out of 10,7,14,"2401 UNIVERSITY AVE
Indianapolis, IN 46219
"
160082,IOWA METHODIST MEDICAL CENTER,1200 PLEASANT STREET,West Des Moines,IA,50265,POLK,0 out of 10,2 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,1 out of 9,1 out of 10,1 out of 10,2 out of 9,2 out of 10,4 out of 10,1 out of 9,4 out of 10,5 out of 10,4 out of 9,5 out of 10,5 out of 10,2 out of 9,5 out of 10,20,17,"1200 PLEASANT STREET
West Des Moines, IA 50265
"
160089,OTTUMWA REGIONAL HEALTH CENTER,1001 E PENNSYLVANIA,Ottumwa,IA,52501,WAPELLO,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0,9,"1001 E PENNSYLVANIA
Ottumwa, IA 52501
"
170086,STORMONT-VAIL HEALTHCARE,1500 SW 10TH ST,Topeka,KS,66604,SHAWNEE,1 out of 10,1 out of 9,1 out of 10,0 out of 10,1 out of 9,1 out of 10,2 out of 10,0 out of 9,2 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,2 out of 10,0 out of 9,2 out of 10,9 out of 10,8 out of 9,9 out of 10,3 out of 10,0 out of 9,3 out of 10,19,18,"1500 SW 10TH ST
Topeka, KS 66604
"
170120,LABETTE HEALTH,1902 SOUTH US HWY 59,Parsons,KS,67357,LABETTE,1 out of 10,0 out of 9,1 out of 10,3 out of 10,0 out of 9,3 out of 10,5 out of 10,0 out of 9,5 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,0 out of 9,1 out of 10,10 out of 10,9 out of 9,10 out of 10,2 out of 10,1 out of 9,2 out of 10,22,19,"1902 SOUTH US HWY 59
Parsons, KS 67357
(37.320602, -95.267285)"
170166,MORTON COUNTY HOSPITAL,445 N HILLTOP,Elkhart,KS,67950,MORTON,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,"445 N HILLTOP
Elkhart, KS 67950
"
170123,WESLEY MEDICAL CENTER,550 N HILLSIDE STREET,Wichita,KS,67214,SEDGWICK,0 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,2 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,4 out of 10,3 out of 9,4 out of 10,0 out of 10,0 out of 9,0 out of 10,7,14,"550 N HILLSIDE STREET
Wichita, KS 67214
(37.695489, -97.299058)"
170185,SAINT LUKE'S SOUTH HOSPITAL,12300 METCALF AVENUE,Overland Park,KS,66213,JOHNSON,4 out of 10,0 out of 9,4 out of 10,2 out of 10,0 out of 9,2 out of 10,2 out of 10,0 out of 9,2 out of 10,1 out of 10,1 out of 9,1 out of 10,3 out of 10,0 out of 9,3 out of 10,2 out of 10,0 out of 9,2 out of 10,8 out of 10,0 out of 9,8 out of 10,6 out of 10,0 out of 9,6 out of 10,28,20,"12300 METCALF AVENUE
Overland Park, KS 66213
(38.905583, -94.667847)"
180010,SAINT JOSEPH HOSPITAL,ONE SAINT JOSEPH DRIVE,Lexington,KY,40504,FAYETTE,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,2 out of 10,0 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,2,15,"ONE SAINT JOSEPH DRIVE
Lexington, KY 40504
"
180012,HARDIN MEMORIAL HOSPITAL,913 NORTH DIXIE AVENUE,Elizabethtown,KY,42701,HARDIN,4 out of 10,4 out of 9,4 out of 10,2 out of 10,1 out of 9,2 out of 10,0 out of 10,2 out of 9,2 out of 10,4 out of 10,5 out of 9,5 out of 10,1 out of 10,0 out of 9,1 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,2 out of 9,2 out of 10,18,16,"913 NORTH DIXIE AVENUE
Elizabethtown, KY 42701
(37.709917, -85.875048)"
180079,HARRISON MEMORIAL HOSPITAL,1210 KY HWY 36 E,Cynthiana,KY,41031,HARRISON,10 out of 10,9 out of 9,10 out of 10,6 out of 10,0 out of 9,6 out of 10,8 out of 10,4 out of 9,8 out of 10,10 out of 10,9 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,6 out of 10,1 out of 9,6 out of 10,5 out of 10,4 out of 9,5 out of 10,8 out of 10,6 out of 9,8 out of 10,63,20,"1210 KY HWY 36 E
Cynthiana, KY 41031
"
180138,BAPTIST HEALTH LA GRANGE,1025 NEW MOODY LANE,Lexington ,KY,40591,OLDHAM,4 out of 10,0 out of 9,4 out of 10,0 out of 10,1 out of 9,1 out of 10,1 out of 10,0 out of 9,1 out of 10,7 out of 10,7 out of 9,7 out of 10,3 out of 10,0 out of 9,3 out of 10,1 out of 10,2 out of 9,2 out of 10,6 out of 10,2 out of 9,6 out of 10,2 out of 10,0 out of 9,2 out of 10,26,19,"1025 NEW MOODY LANE
Lexington, KY 40591
"
190005,UNIVERSITY MEDICAL CENTER NEW ORLEANS,2000 CANAL STREET,New Orleans,LA,70112,ORLEANS,0 out of 10,0 out of 9,0 out of 10,1 out of 10,2 out of 9,2 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,3 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,2 out of 9,2 out of 10,9,11,"2000 CANAL STREET
New Orleans, LA 70112
(29.961113, -90.080941)"
190027,CHRISTUS ST PATRICK HOSPITAL,524 DR MICHAEL DEBAKEY STREET,Lake Charles,LA,70601,CALCASIEU,0 out of 10,0 out of 9,0 out of 10,4 out of 10,0 out of 9,4 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,3 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,8,14,"524 DR MICHAEL DEBAKEY STREET
Lake Charles, LA 70601
"
190099,AVOYELLES HOSPITAL,4231 HIGHWAY 1192,Marksville,LA,71351,AVOYELLES,0 out of 10,0 out of 9,0 out of 10,2 out of 10,0 out of 9,2 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,6 out of 10,0 out of 9,6 out of 10,0 out of 10,3 out of 9,3 out of 10,0 out of 10,3 out of 9,3 out of 10,15,13,"4231 HIGHWAY 1192
Marksville, LA 71351
(31.142771, -92.064341)"
190106,OAKDALE COMMUNITY HOSPITAL,130 N HOSPITAL DR,Oakdale,LA,71463,ALLEN,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,"130 N HOSPITAL DR
Oakdale, LA 71463
(30.816264, -92.644545)"
190079,ST CHARLES PARISH HOSPITAL,1057 PAUL MAILLARD ROAD,Luling,LA,70070,ST. CHARLES,7 out of 10,6 out of 9,7 out of 10,6 out of 10,0 out of 9,6 out of 10,3 out of 10,0 out of 9,3 out of 10,10 out of 10,9 out of 9,10 out of 10,6 out of 10,5 out of 9,6 out of 10,9 out of 10,6 out of 9,9 out of 10,0 out of 10,1 out of 9,1 out of 10,5 out of 10,4 out of 9,5 out of 10,47,18,"1057 PAUL MAILLARD ROAD
Luling, LA 70070
(29.924827, -90.371515)"
190144,MINDEN MEDICAL CENTER,NO 1 MEDICAL PLAZA,Minden,LA,71055,WEBSTER,3 out of 10,0 out of 9,3 out of 10,7 out of 10,0 out of 9,7 out of 10,3 out of 10,1 out of 9,3 out of 10,4 out of 10,0 out of 9,4 out of 10,4 out of 10,0 out of 9,4 out of 10,5 out of 10,0 out of 9,5 out of 10,0 out of 10,0 out of 9,0 out of 10,7 out of 10,4 out of 9,7 out of 10,33,19,"NO 1 MEDICAL PLAZA
Minden, LA 71055
"
190145,LASALLE GENERAL HOSPITAL,187 NINTH ST/HWY 84 WEST,Jena,LA,71342,LA SALLE,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,"187 NINTH ST/HWY 84 WEST
Jena, LA 71342
"
190263,HEART HOSPITAL OF LAFAYETTE,1105 KALISTE SALOOM ROAD,Lafayette,LA,70508,LAFAYETTE,10 out of 10,9 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,10 out of 10,0 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,10 out of 10,0 out of 9,10 out of 10,80,20,"1105 KALISTE SALOOM ROAD
Lafayette, LA 70508
(30.175866, -92.02802)"
200018,AROOSTOOK MEDICAL CENTER,PO BOX 151,Presque Isle,ME,4769,AROOSTOOK,1 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,2 out of 9,2 out of 10,1 out of 10,1 out of 9,1 out of 10,3 out of 10,3 out of 9,3 out of 10,4 out of 10,3 out of 9,4 out of 10,0 out of 10,2 out of 9,2 out of 10,14,17,"PO BOX 151
Presque Isle, ME 04769
"
200033,EASTERN MAINE MEDICAL CENTER,PO BOX 404,Bangor,ME,4401,PENOBSCOT,1 out of 10,1 out of 9,1 out of 10,0 out of 10,2 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,3 out of 10,3 out of 9,3 out of 10,3 out of 10,2 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,5 out of 10,2 out of 9,5 out of 10,0 out of 10,0 out of 9,0 out of 10,14,14,"PO BOX 404
Bangor, ME 04401
"
200034,ST MARYS REGIONAL MEDICAL CENTER,CAMPUS AVENUE - PO BOX 7291,Lewiston,ME,4240,ANDROSCOGGIN,3 out of 10,2 out of 9,3 out of 10,2 out of 10,0 out of 9,2 out of 10,1 out of 10,0 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,3 out of 9,3 out of 10,1 out of 10,1 out of 9,1 out of 10,5 out of 10,4 out of 9,5 out of 10,3 out of 10,0 out of 9,3 out of 10,18,19,"CAMPUS AVENUE - PO BOX 7291
Lewiston, ME 04240
"
220010,LAWRENCE GENERAL HOSPITAL,ONE GENERAL STREET,Lawrence,MA,1842,ESSEX,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,0 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,6 out of 10,5 out of 9,6 out of 10,0 out of 10,0 out of 9,0 out of 10,7,14,"ONE GENERAL STREET
Lawrence, MA 01842
"
220084,EMERSON HOSPITAL,OLD ROAD TO 9 ACRE CORNER,Concord,MA,1742,MIDDLESEX,4 out of 10,3 out of 9,4 out of 10,2 out of 10,1 out of 9,2 out of 10,2 out of 10,1 out of 9,2 out of 10,4 out of 10,1 out of 9,4 out of 10,2 out of 10,1 out of 9,2 out of 10,1 out of 10,2 out of 9,2 out of 10,6 out of 10,5 out of 9,6 out of 10,4 out of 10,3 out of 9,4 out of 10,26,20,"OLD ROAD TO 9 ACRE CORNER
Concord, MA 01742
"
220171,"LAHEY HOSPITAL & MEDICAL CENTER, BURLINGTON",41 & 45 MALL ROAD,Burlington,MA,1805,MIDDLESEX,5 out of 10,1 out of 9,5 out of 10,2 out of 10,0 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,0 out of 9,1 out of 10,5 out of 10,1 out of 9,5 out of 10,0 out of 10,1 out of 9,1 out of 10,8 out of 10,6 out of 9,8 out of 10,4 out of 10,0 out of 9,4 out of 10,26,16,"41 &amp; 45 MALL ROAD
Burlington, MA 01805
"
230110,SPECTRUM HEALTH LUDINGTON HOSPITAL,ONE N ATKINSON DRIVE,Ludington,MI,49431,MASON,1 out of 10,0 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,5 out of 10,0 out of 9,5 out of 10,2 out of 10,1 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,2 out of 10,2 out of 9,2 out of 10,4 out of 10,0 out of 9,4 out of 10,0 out of 10,0 out of 9,0 out of 10,14,17,"ONE N ATKINSON DRIVE
Ludington, MI 49431
"
230132,HURLEY MEDICAL CENTER,ONE HURLEY PLAZA,Flint,MI,48503,GENESEE,0 out of 10,2 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,2 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,6,13,"ONE HURLEY PLAZA
Flint, MI 48503
"
230156,ST JOSEPH MERCY HOSPITAL,5301 E HURON RIVER DR,Ann Arbor,MI,48106,WASHTENAW,4 out of 10,2 out of 9,4 out of 10,0 out of 10,0 out of 9,0 out of 10,3 out of 10,2 out of 9,3 out of 10,1 out of 10,0 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,1 out of 9,1 out of 10,6 out of 10,1 out of 9,6 out of 10,6 out of 10,0 out of 9,6 out of 10,21,18,"5301 E HURON RIVER DR
Ann Arbor, MI 48106
"
230197,GENESYS REGIONAL MEDICAL CENTER - HEALTH PARK,ONE GENESYS PARKWAY,Grand Blanc,MI,48439,GENESEE,0 out of 10,0 out of 9,0 out of 10,0 out of 10,1 out of 9,1 out of 10,1 out of 10,0 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,3 out of 10,3 out of 9,3 out of 10,0 out of 10,2 out of 9,2 out of 10,7,12,"ONE GENESYS PARKWAY
Grand Blanc, MI 48439
"
230269,"BEAUMONT HOSPITAL, TROY",44201 DEQUINDRE ROAD,Troy,MI,48085,OAKLAND,0 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,2 out of 10,1 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,2 out of 10,2 out of 9,2 out of 10,2 out of 10,1 out of 9,2 out of 10,7,11,"44201 DEQUINDRE ROAD
Troy, MI 48085
"
230273,DETROIT RECEIVING HOSPITAL & UNIV HEALTH CENTER,4201 ST ANTOINE ST - 3M,Detroit,MI,48201,WAYNE,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,2 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,2,14,"4201 ST ANTOINE ST - 3M
Detroit, MI 48201
"
230277,HURON VALLEY-SINAI HOSPITAL,ONE WILLIAM CARLS DRIVE,Commerce,MI,48382,OAKLAND,2 out of 10,2 out of 9,2 out of 10,1 out of 10,2 out of 9,2 out of 10,1 out of 10,0 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,1 out of 9,1 out of 10,9 out of 10,8 out of 9,9 out of 10,3 out of 10,0 out of 9,3 out of 10,18,17,"ONE WILLIAM CARLS DRIVE
Commerce, MI 48382
"
250006,BAPTIST MEMORIAL HOSPITAL UNION COUNTY,200 HWY 30 WEST,New Albany,MS,38652,UNION,8 out of 10,0 out of 9,8 out of 10,9 out of 10,0 out of 9,9 out of 10,5 out of 10,1 out of 9,5 out of 10,6 out of 10,0 out of 9,6 out of 10,6 out of 10,0 out of 9,6 out of 10,9 out of 10,6 out of 9,9 out of 10,0 out of 10,0 out of 9,0 out of 10,5 out of 10,2 out of 9,5 out of 10,48,18,"200 HWY 30 WEST
New Albany, MS 38652
"
250057,KING'S DAUGHTERS MEDICAL CENTER-BROOKHAVEN,P O BOX 948/427 HIGHWAY 51 NORTH,Brookhaven,MS,39601,LINCOLN,10 out of 10,0 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,9 out of 10,0 out of 9,9 out of 10,10 out of 10,0 out of 9,10 out of 10,9 out of 10,0 out of 9,9 out of 10,7 out of 10,0 out of 9,7 out of 10,9 out of 10,5 out of 9,9 out of 10,10 out of 10,0 out of 9,10 out of 10,74,20,"P O BOX 948/427 HIGHWAY 51 NORTH
Brookhaven, MS 39601
"
250084,MERIT HEALTH NATCHEZ,52 SERGEANT PRENTISS DRIVE,Natchez,MS,39120,ADAMS,0 out of 10,0 out of 9,0 out of 10,6 out of 10,0 out of 9,6 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,3 out of 10,0 out of 9,3 out of 10,1 out of 10,0 out of 9,1 out of 10,0 out of 10,2 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,12,7,"52 SERGEANT PRENTISS DRIVE
Natchez, MS 39120
"
